case_id,activity,timestamp,label
1,K1,2022-07-28 09:38:48,1
1,K6,2022-07-28 09:39:48,1
1,K8,2022-07-28 09:40:48,1
2,K1,2022-07-28 09:41:48,1
2,K2,2022-07-28 09:42:48,1
2,K4,2022-07-28 09:43:48,1
2,K5,2022-07-28 09:44:48,1
2,K4,2022-07-28 09:45:48,1
2,K5,2022-07-28 09:46:48,1
2,K4,2022-07-28 09:47:48,1
2,K5,2022-07-28 09:48:48,1
2,K3,2022-07-28 09:49:48,1
2,K4,2022-07-28 09:50:48,1
2,K5,2022-07-28 09:51:48,1
2,K4,2022-07-28 09:52:48,1
2,K5,2022-07-28 09:53:48,1
2,K4,2022-07-28 09:54:48,1
2,K7,2022-07-28 09:55:48,1
2,K9,2022-07-28 09:56:48,1
3,K1,2022-07-28 09:57:48,0
3,K2,2022-07-28 09:58:48,0
3,K4,2022-07-28 09:59:48,0
3,K3,2022-07-28 10:00:48,0
3,K4,2022-07-28 10:01:48,0
3,K5,2022-07-28 10:02:48,0
3,K4,2022-07-28 10:03:48,0
3,K5,2022-07-28 10:04:48,0
3,K4,2022-07-28 10:05:48,0
3,K5,2022-07-28 10:06:48,0
3,K4,2022-07-28 10:07:48,0
3,K7,2022-07-28 10:08:48,0
3,K8,2022-07-28 10:09:48,0
4,K1,2022-07-28 10:10:48,1
4,K2,2022-07-28 10:11:48,1
4,K4,2022-07-28 10:12:48,1
4,K5,2022-07-28 10:13:48,1
4,K4,2022-07-28 10:14:48,1
4,K3,2022-07-28 10:15:48,1
4,K5,2022-07-28 10:16:48,1
4,K4,2022-07-28 10:17:48,1
4,K5,2022-07-28 10:18:48,1
4,K4,2022-07-28 10:19:48,1
4,K7,2022-07-28 10:20:48,1
4,K9,2022-07-28 10:21:48,1
5,K3,2022-07-28 10:22:48,0
5,K2,2022-07-28 10:23:48,0
5,K1,2022-07-28 10:24:48,0
5,K4,2022-07-28 10:25:48,0
5,K5,2022-07-28 10:26:48,0
5,K4,2022-07-28 10:27:48,0
5,K7,2022-07-28 10:28:48,0
5,K8,2022-07-28 10:29:48,0
6,K1,2022-07-28 10:30:48,1
6,K2,2022-07-28 10:31:48,1
6,K4,2022-07-28 10:32:48,1
6,K5,2022-07-28 10:33:48,1
6,K3,2022-07-28 10:34:48,1
6,K4,2022-07-28 10:35:48,1
6,K5,2022-07-28 10:36:48,1
6,K4,2022-07-28 10:37:48,1
6,K5,2022-07-28 10:38:48,1
6,K4,2022-07-28 10:39:48,1
6,K7,2022-07-28 10:40:48,1
6,K8,2022-07-28 10:41:48,1
7,K1,2022-07-28 10:42:48,0
7,K2,2022-07-28 10:43:48,0
7,K5,2022-07-28 10:44:48,0
7,K4,2022-07-28 10:45:48,0
7,K4,2022-07-28 10:46:48,0
7,K5,2022-07-28 10:47:48,0
7,K4,2022-07-28 10:48:48,0
7,K5,2022-07-28 10:49:48,0
7,K4,2022-07-28 10:50:48,0
7,K5,2022-07-28 10:51:48,0
7,K4,2022-07-28 10:52:48,0
7,K3,2022-07-28 10:53:48,0
7,K5,2022-07-28 10:54:48,0
7,K4,2022-07-28 10:55:48,0
7,K7,2022-07-28 10:56:48,0
7,K9,2022-07-28 10:57:48,0
8,K1,2022-07-28 10:58:48,1
8,K6,2022-07-28 10:59:48,1
8,K9,2022-07-28 11:00:48,1
9,K1,2022-07-28 11:01:48,1
9,K2,2022-07-28 11:02:48,1
9,K4,2022-07-28 11:03:48,1
9,K5,2022-07-28 11:04:48,1
9,K4,2022-07-28 11:05:48,1
9,K5,2022-07-28 11:06:48,1
9,K3,2022-07-28 11:07:48,1
9,K4,2022-07-28 11:08:48,1
9,K7,2022-07-28 11:09:48,1
9,K9,2022-07-28 11:10:48,1
10,K1,2022-07-28 11:11:48,1
10,K6,2022-07-28 11:12:48,1
10,K8,2022-07-28 11:13:48,1
11,K1,2022-07-28 11:14:48,1
11,K6,2022-07-28 11:15:48,1
11,K8,2022-07-28 11:16:48,1
12,K1,2022-07-28 11:17:48,1
12,K6,2022-07-28 11:18:48,1
12,K9,2022-07-28 11:19:48,1
13,K1,2022-07-28 11:20:48,1
13,K2,2022-07-28 11:21:48,1
13,K4,2022-07-28 11:22:48,1
13,K3,2022-07-28 11:23:48,1
13,K5,2022-07-28 11:24:48,1
13,K4,2022-07-28 11:25:48,1
13,K5,2022-07-28 11:26:48,1
13,K4,2022-07-28 11:27:48,1
13,K5,2022-07-28 11:28:48,1
13,K4,2022-07-28 11:29:48,1
13,K5,2022-07-28 11:30:48,1
13,K4,2022-07-28 11:31:48,1
13,K5,2022-07-28 11:32:48,1
13,K4,2022-07-28 11:33:48,1
13,K5,2022-07-28 11:34:48,1
13,K4,2022-07-28 11:35:48,1
