模型,数据集,ACC,F1_EVERY_CLASS,F1_MACRO,F1_MICRO,PREC_EVERY_CLASS,PREC_MACRO,PREC_MICRO,RECALL_EVERY_CLASS,RECALL_MACRO,RECALL_MICRO
GRU,result1,0.804506017,[0.24611794 0.87473101],0.560424473,0.804506017,[0.57486206 0.83784735],0.706354704,0.804506017,[0.37349566 0.93398805],0.653741854,0.804506017
,result2,0.879442673,[0.47001371 0.9218626 ],0.695938155,0.879442673,[0.97933556 0.87490132],0.92711844,0.879442673,[0.4558575  0.98416072],0.720009109,0.879442673
,result3,0.925841846,[0.62145289 0.95677646],0.789114676,0.925841846,[1.         0.92584185],0.962920923,0.925841846,[0.62145289 1.        ],0.810726447,0.925841846
,result4,0.844192238,[0.36076505 0.90355291],0.632158981,0.844192238,[0.99354771 0.84043766],0.916992684,0.844192238,[0.35235293 0.99642707],0.67439,0.844192238
,result5,0.928898401,[0.63456394 0.95809663],0.796330282,0.928898401,[1.        0.9288984],0.9644492,0.928898401,[0.63456394 1.        ],0.817281969,0.928898401
,result6,0.840484048,[0.41764707 0.89297932],0.655313195,0.840484048,[0.75999921 0.85654522],0.808272216,0.840484048,[0.40518187 0.94992142],0.677551644,0.840484048
,result7,0.926107777,[0.63720676 0.95563658],0.796421674,0.926107777,[1.         0.92610778],0.963053889,0.926107777,[0.63720676 1.        ],0.818603382,0.926107777
,result8,0.92979664,[0.64509284 0.95862197],0.801857405,0.92979664,[1.         0.92979664],0.96489832,0.92979664,[0.64509284 1.        ],0.822546419,0.92979664
,result9,0.861442157,[0.36026927 0.91528382],0.637776547,0.861442157,[0.9928378  0.85985658],0.926347186,0.861442157,[0.35810762 0.99198267],0.675045143,0.861442157
,result10,0.88870324,[0.53216374 0.93197041],0.732067074,0.88870324,[1.         0.88870324],0.94435162,0.88870324,[0.53216374 1.        ],0.766081871,0.88870324
RNN,result1,0.830534565,[0.28589421 0.89752035],0.591707279,0.830534565,[1.         0.83053456],0.915267282,0.830534565,[0.28589421 1.        ],0.642947103,0.830534565
,result2,0.860550242,[0.36503719 0.916874  ],0.640955598,0.860550242,[0.9968119  0.86072736],0.92876963,0.860550242,[0.36432873 0.99951926],0.681923992,0.860550242
,result3,0.925841846,[0.62145289 0.95677646],0.789114676,0.925841846,[1.         0.92584185],0.962920923,0.925841846,[0.62145289 1.        ],0.810726447,0.925841846
,result4,0.830040633,[0.28247163 0.89768673],0.590079178,0.830040633,[1.         0.83004063],0.915020317,0.830040633,[0.28247163 1.        ],0.641235813,0.830040633
,result5,0.92895785,[0.63659711 0.95808832],0.797342714,0.92895785,[0.99785982 0.92909161],0.963475715,0.92895785,[0.6364366  0.99969107],0.818063836,0.92895785
,result6,0.848551522,[0.35753575 0.90827374],0.632904745,0.848551522,[1.         0.84855152],0.924275761,0.848551522,[0.35753575 1.        ],0.678767877,0.848551522
,result7,0.926289628,[0.63892526 0.95569408],0.797309668,0.926289628,[0.99890889 0.92628963],0.96259926,0.926289628,[0.63869405 0.99983114],0.819262593,0.926289628
,result8,0.925375774,[0.62417414 0.95588717],0.790030655,0.925375774,[0.93076923 0.93223548],0.931502358,0.925375774,[0.66722496 0.99148352],0.829354238,0.925375774
,result9,0.853497051,[0.33911159 0.91326199],0.626186792,0.853497051,[1.         0.85349705],0.926748525,0.853497051,[0.33911159 1.        ],0.669555796,0.853497051
,result10,0.88870324,[0.53216374 0.93197041],0.732067074,0.88870324,[1.         0.88870324],0.94435162,0.88870324,[0.53216374 1.        ],0.766081871,0.88870324
LSTM,result1,0.830534565,[0.28589421 0.89752035],0.591707279,0.830534565,[1.         0.83053456],0.915267282,0.830534565,[0.28589421 1.        ],0.642947103,0.830534565
,result2,0.865863738,[0.38396275 0.91649973],0.650231237,0.865863738,[0.98497799 0.86250949],0.923743738,0.865863738,[0.37936719 0.99049643],0.68493181,0.865863738
,result3,0.917517972,[0.58189512 0.95132895],0.766612037,0.917517972,[0.9172342  0.92544277],0.921338486,0.917517972,[0.62534322 0.98817812],0.806760671,0.917517972
,result4,0.829340059,[0.28905002 0.89630217],0.592676097,0.829340059,[0.98213535 0.83001561],0.906075482,0.829340059,[0.28703237 0.99544376],0.641238065,0.829340059
,result5,0.928898401,[0.63456394 0.95809663],0.796330282,0.928898401,[1.        0.9288984],0.9644492,0.928898401,[0.63456394 1.        ],0.817281969,0.928898401
,result6,0.848551522,[0.35753575 0.90827374],0.632904745,0.848551522,[1.         0.84855152],0.924275761,0.848551522,[0.35753575 1.        ],0.678767877,0.848551522
,result7,0.925622841,[0.62704431 0.95527787],0.791161089,0.925622841,[0.96262957 0.92922956],0.945929563,0.925622841,[0.66033889 0.99575464],0.828046766,0.925622841
,result8,0.92979664,[0.64509284 0.95862197],0.801857405,0.92979664,[1.         0.92979664],0.96489832,0.92979664,[0.64509284 1.        ],0.822546419,0.92979664
,result9,0.853497051,[0.33911159 0.91326199],0.626186792,0.853497051,[1.         0.85349705],0.926748525,0.853497051,[0.33911159 1.        ],0.669555796,0.853497051
,result10,0.886939571,[0.53221148 0.9304142 ],0.73131284,0.886939571,[0.97124756 0.88950949],0.930378526,0.886939571,[0.53905597 0.99503289],0.76704443,0.886939571
