模型,数据集,ACC,F1_EVERY_CLASS,F1_MACRO,F1_MICRO,PREC_EVERY_CLASS,PREC_MACRO,PREC_MICRO,RECALL_EVERY_CLASS,RECALL_MACRO,RECALL_MICRO
GRU,result1,0.951855168,[0.66517457 0.97361029],0.81939243,0.951855168,[1.         0.95185517],0.975927584,0.951855168,[0.66517457 1.        ],0.832587287,0.951855168
,result2,0.960969939,[0.72795217 0.97858682],0.853269492,0.960969939,[1.         0.96096994],0.980484969,0.960969939,[0.72795217 1.        ],0.863976084,0.960969939
,result3,0.979615385,[0.84884615 0.98889423],0.918870192,0.979615385,[0.99923077 0.97968483],0.989457799,0.979615385,[0.84884615 0.99989698],0.924371566,0.979615385
,result4,0.950539568,[0.66996403 0.97260486],0.821284444,0.950539568,[1.         0.95053957],0.975269784,0.950539568,[0.66996403 1.        ],0.834982014,0.950539568
,result5,0.980963618,[0.85663717 0.98967123],0.923154198,0.980963618,[1.         0.98096362],0.990481809,0.980963618,[0.85663717 1.        ],0.928318584,0.980963618
,result6,0.965755112,[0.77075634 0.98103507],0.875895709,0.965755112,[0.97930525 0.96741808],0.973361665,0.965755112,[0.7696477  0.99706296],0.88335533,0.965755112
,result7,0.98099519,[0.85379702 0.9897146 ],0.921755812,0.98099519,[1.         0.98099519],0.990497595,0.98099519,[0.85379702 1.        ],0.92689851,0.98099519
,result8,0.980307913,[0.85463659 0.98928541],0.921961002,0.980307913,[1.         0.98030791],0.990153956,0.980307913,[0.85463659 1.        ],0.927318296,0.980307913
,result9,0.958343831,[0.71050642 0.97721057],0.843858496,0.958343831,[1.         0.95834383],0.979171916,0.958343831,[0.71050642 1.        ],0.855253212,0.958343831
,result10,0.96881658,[0.78326554 0.98286698],0.883066263,0.96881658,[1.         0.96881658],0.98440829,0.96881658,[0.78326554 1.        ],0.891632772,0.96881658
RNN,result1,0.951755695,[0.66845718 0.97348929],0.820973233,0.951755695,[0.99552372 0.95212872],0.973826221,0.951755695,[0.66830797 0.99936586],0.833836914,0.951755695
,result2,0.960969939,[0.72795217 0.97858682],0.853269492,0.960969939,[1.         0.96096994],0.980484969,0.960969939,[0.72795217 1.        ],0.863976084,0.960969939
,result3,0.979487179,[0.84884615 0.98881787],0.918832014,0.979487179,[0.99807692 0.9796688 ],0.988872863,0.979487179,[0.84884615 0.99975275],0.924299451,0.979487179
,result4,0.950539568,[0.66996403 0.97260486],0.821284444,0.950539568,[1.         0.95053957],0.975269784,0.950539568,[0.66996403 1.        ],0.834982014,0.950539568
,result5,0.980963618,[0.85663717 0.98967123],0.923154198,0.980963618,[1.         0.98096362],0.990481809,0.980963618,[0.85663717 1.        ],0.928318584,0.980963618
,result6,0.963702061,[0.73392461 0.9802712 ],0.857097906,0.963702061,[1.         0.96370206],0.981851031,0.963702061,[0.73392461 1.        ],0.866962306,0.963702061
,result7,0.98099519,[0.85379702 0.9897146 ],0.921755812,0.98099519,[1.         0.98099519],0.990497595,0.98099519,[0.85379702 1.        ],0.92689851,0.98099519
,result8,0.980307913,[0.85463659 0.98928541],0.921961002,0.980307913,[1.         0.98030791],0.990153956,0.980307913,[0.85463659 1.        ],0.927318296,0.980307913
,result9,0.958343831,[0.71050642 0.97721057],0.843858496,0.958343831,[1.         0.95834383],0.979171916,0.958343831,[0.71050642 1.        ],0.855253212,0.958343831
,result10,0.96881658,[0.78326554 0.98286698],0.883066263,0.96881658,[1.         0.96881658],0.98440829,0.96881658,[0.78326554 1.        ],0.891632772,0.96881658
LSTM,result1,0.951855168,[0.66517457 0.97361029],0.81939243,0.951855168,[1.         0.95185517],0.975927584,0.951855168,[0.66517457 1.        ],0.832587287,0.951855168
,result2,0.961052981,[0.72982063 0.97860393],0.854212279,0.961052981,[0.99850523 0.96115678],0.979831008,0.961052981,[0.72969606 0.99978201],0.864739038,0.961052981
,result3,0.97982906,[0.85076923 0.98900735],0.919888292,0.97982906,[0.99923077 0.9798985 ],0.989564637,0.97982906,[0.85076923 0.99989698],0.925333104,0.97982906
,result4,0.950539568,[0.66996403 0.97260486],0.821284444,0.950539568,[1.         0.95053957],0.975269784,0.950539568,[0.66996403 1.        ],0.834982014,0.950539568
,result5,0.980963618,[0.85663717 0.98967123],0.923154198,0.980963618,[1.         0.98096362],0.990481809,0.980963618,[0.85663717 1.        ],0.928318584,0.980963618
,result6,0.963702061,[0.73392461 0.9802712 ],0.857097906,0.963702061,[1.         0.96370206],0.981851031,0.963702061,[0.73392461 1.        ],0.866962306,0.963702061
,result7,0.98099519,[0.85379702 0.9897146 ],0.921755812,0.98099519,[1.         0.98099519],0.990497595,0.98099519,[0.85379702 1.        ],0.92689851,0.98099519
,result8,0.980665951,[0.85845566 0.98946636],0.923961013,0.980665951,[0.99892589 0.98075049],0.989838187,0.980665951,[0.85821697 0.99986574],0.929041353,0.980665951
,result9,0.958343831,[0.71050642 0.97721057],0.843858496,0.958343831,[1.         0.95834383],0.979171916,0.958343831,[0.71050642 1.        ],0.855253212,0.958343831
,result10,0.968752018,[0.78326554 0.98282853],0.883047036,0.968752018,[0.99941894 0.96880851],0.984113726,0.968752018,[0.78326554 0.99992737],0.891596456,0.968752018
