模型,数据集,ACC,F1_EVERY_CLASS,F1_MACRO,F1_MICRO,PREC_EVERY_CLASS,PREC_MACRO,PREC_MICRO,RECALL_EVERY_CLASS,RECALL_MACRO,RECALL_MICRO
GRU,result1,0.997727273,[0.97954545 0.99879679],0.989171123,0.997727273,[1.         0.99772727],0.998863636,0.997727273,[0.97954545 1.        ],0.989772727,0.997727273
,result2,0.998459707,[0.98613737 0.99918455],0.992660959,0.998459707,[1.         0.99845971],0.999229854,0.998459707,[0.98613737 1.        ],0.993068683,0.998459707
,result3,0.999090973,[0.99181875 0.99951875],0.995668752,0.999090973,[1.         0.99909097],0.999545486,0.999090973,[0.99181875 1.        ],0.995909377,0.999090973
,result4,0.997472833,[0.9772555  0.99866209],0.987958792,0.997472833,[1.         0.99747283],0.998736416,0.997472833,[0.9772555 1.       ],0.988627748,0.997472833
,result5,0.99925494,[0.99329446 0.99960556],0.996450009,0.99925494,[1.         0.99925494],0.99962747,0.99925494,[0.99329446 1.        ],0.99664723,0.99925494
,result6,0.998529721,[0.98676749 0.99922162],0.992994551,0.998529721,[1.         0.99852972],0.99926486,0.998529721,[0.98676749 1.        ],0.993383743,0.998529721
,result7,0.998854525,[0.98969072 0.99939357],0.994542147,0.998854525,[1.         0.99885452],0.999427262,0.998854525,[0.98969072 1.        ],0.994845361,0.998854525
,result8,0.999325041,[0.99392537 0.99964267],0.996784019,0.999325041,[1.         0.99932504],0.99966252,0.999325041,[0.99392537 1.        ],0.996962684,0.999325041
,result9,0.998388679,[0.98549811 0.99914695],0.992322528,0.998388679,[1.         0.99838868],0.999194339,0.998388679,[0.98549811 1.        ],0.992749054,0.998388679
,result10,0.998975934,[0.99078341 0.99945785],0.995120629,0.998975934,[1.         0.99897593],0.999487967,0.998975934,[0.99078341 1.        ],0.995391705,0.998975934
RNN,result1,0.997727273,[0.97954545 0.99879679],0.989171123,0.997727273,[1.         0.99772727],0.998863636,0.997727273,[0.97954545 1.        ],0.989772727,0.997727273
,result2,0.998459707,[0.98613737 0.99918455],0.992660959,0.998459707,[1.         0.99845971],0.999229854,0.998459707,[0.98613737 1.        ],0.993068683,0.998459707
,result3,0.999090973,[0.99181875 0.99951875],0.995668752,0.999090973,[1.         0.99909097],0.999545486,0.999090973,[0.99181875 1.        ],0.995909377,0.999090973
,result4,0.997472833,[0.9772555  0.99866209],0.987958792,0.997472833,[1.         0.99747283],0.998736416,0.997472833,[0.9772555 1.       ],0.988627748,0.997472833
,result5,0.99925494,[0.99329446 0.99960556],0.996450009,0.99925494,[1.         0.99925494],0.99962747,0.99925494,[0.99329446 1.        ],0.99664723,0.99925494
,result6,0.998529721,[0.98676749 0.99922162],0.992994551,0.998529721,[1.         0.99852972],0.99926486,0.998529721,[0.98676749 1.        ],0.993383743,0.998529721
,result7,0.998854525,[0.98969072 0.99939357],0.994542147,0.998854525,[1.         0.99885452],0.999427262,0.998854525,[0.98969072 1.        ],0.994845361,0.998854525
,result8,0.999325041,[0.99392537 0.99964267],0.996784019,0.999325041,[1.         0.99932504],0.99966252,0.999325041,[0.99392537 1.        ],0.996962684,0.999325041
,result9,0.998318621,[0.98486759 0.99910986],0.991988725,0.998318621,[1.         0.99831862],0.999159311,0.998318621,[0.98486759 1.        ],0.992433796,0.998318621
,result10,0.998975934,[0.99078341 0.99945785],0.995120629,0.998975934,[1.         0.99897593],0.999487967,0.998975934,[0.99078341 1.        ],0.995391705,0.998975934
LSTM,result1,0.997727273,[0.97954545 0.99879679],0.989171123,0.997727273,[1.         0.99772727],0.998863636,0.997727273,[0.97954545 1.        ],0.989772727,0.997727273
,result2,0.998459707,[0.98613737 0.99918455],0.992660959,0.998459707,[1.         0.99845971],0.999229854,0.998459707,[0.98613737 1.        ],0.993068683,0.998459707
,result3,0.999090973,[0.99181875 0.99951875],0.995668752,0.999090973,[1.         0.99909097],0.999545486,0.999090973,[0.99181875 1.        ],0.995909377,0.999090973
,result4,0.997472833,[0.9772555  0.99866209],0.987958792,0.997472833,[1.         0.99747283],0.998736416,0.997472833,[0.9772555 1.       ],0.988627748,0.997472833
,result5,0.99925494,[0.99329446 0.99960556],0.996450009,0.99925494,[1.         0.99925494],0.99962747,0.99925494,[0.99329446 1.        ],0.99664723,0.99925494
,result6,0.998529721,[0.98676749 0.99922162],0.992994551,0.998529721,[1.         0.99852972],0.99926486,0.998529721,[0.98676749 1.        ],0.993383743,0.998529721
,result7,0.998854525,[0.98969072 0.99939357],0.994542147,0.998854525,[1.         0.99885452],0.999427262,0.998854525,[0.98969072 1.        ],0.994845361,0.998854525
,result8,0.999325041,[0.99392537 0.99964267],0.996784019,0.999325041,[1.         0.99932504],0.99966252,0.999325041,[0.99392537 1.        ],0.996962684,0.999325041
,result9,0.998318621,[0.98486759 0.99910986],0.991988725,0.998318621,[1.         0.99831862],0.999159311,0.998318621,[0.98486759 1.        ],0.992433796,0.998318621
,result10,0.998975934,[0.99078341 0.99945785],0.995120629,0.998975934,[1.         0.99897593],0.999487967,0.998975934,[0.99078341 1.        ],0.995391705,0.998975934
