模型,数据集,ACC,F1_EVERY_CLASS,F1_MACRO,F1_MICRO,PREC_EVERY_CLASS,PREC_MACRO,PREC_MICRO,RECALL_EVERY_CLASS,RECALL_MACRO,RECALL_MICRO
GRU,result1,0.989835809,[0.91243159 0.99459021],0.9535109,0.989835809,[1.         0.98983581],0.994917905,0.989835809,[0.91243159 1.        ],0.956215794,0.989835809
,result2,0.995523529,[0.96298723 0.99760313],0.980295177,0.995523529,[1.         0.99552353],0.997761764,0.995523529,[0.96298723 1.        ],0.981493613,0.995523529
,result3,0.995390032,[0.96112382 0.99753733],0.979330572,0.995390032,[1.         0.99539003],0.997695016,0.995390032,[0.96112382 1.        ],0.980561908,0.995390032
,result4,0.987936008,[0.90007868 0.9935426 ],0.94681064,0.987936008,[1.         0.98793601],0.993968004,0.987936008,[0.90007868 1.        ],0.950039339,0.987936008
,result5,0.995218438,[0.95851393 0.9974572 ],0.977985567,0.995218438,[1.         0.99521844],0.997609219,0.995218438,[0.95851393 1.        ],0.979256966,0.995218438
,result6,0.98977953,[0.9152431  0.99452443],0.954883764,0.98977953,[0.99802891 0.98996204],0.993995474,0.98977953,[0.9152431  0.99974188],0.957492491,0.98977953
,result7,0.996303018,[0.96793708 0.99803388],0.982985481,0.996303018,[1.         0.99630302],0.998151509,0.996303018,[0.96793708 1.        ],0.983968542,0.996303018
,result8,0.99629966,[0.96760521 0.99803432],0.982819763,0.99629966,[1.         0.99629966],0.99814983,0.99629966,[0.96760521 1.        ],0.983802604,0.99629966
,result9,0.992352092,[0.93311688 0.99593678],0.964526833,0.992352092,[1.         0.99235209],0.996176046,0.992352092,[0.93311688 1.        ],0.966558442,0.992352092
,result10,0.993103829,[0.9409136  0.99632718],0.968620393,0.993103829,[1.         0.99310383],0.996551914,0.993103829,[0.9409136 1.       ],0.970456802,0.993103829
RNN,result1,0.989575189,[0.91321345 0.99442924],0.953821345,0.989575189,[0.99687256 0.98987925],0.993375901,0.989575189,[0.91321345 0.99960907],0.956411259,0.989575189
,result2,0.995523529,[0.96298723 0.99760313],0.980295177,0.995523529,[1.         0.99552353],0.997761764,0.995523529,[0.96298723 1.        ],0.981493613,0.995523529
,result3,0.995390032,[0.96112382 0.99753733],0.979330572,0.995390032,[1.         0.99539003],0.997695016,0.995390032,[0.96112382 1.        ],0.980561908,0.995390032
,result4,0.987936008,[0.90007868 0.9935426 ],0.94681064,0.987936008,[1.         0.98793601],0.993968004,0.987936008,[0.90007868 1.        ],0.950039339,0.987936008
,result5,0.995218438,[0.95851393 0.9974572 ],0.977985567,0.995218438,[1.         0.99521844],0.997609219,0.995218438,[0.95851393 1.        ],0.979256966,0.995218438
,result6,0.989852533,[0.91392904 0.99458337],0.954256203,0.989852533,[1.         0.98985253],0.994926267,0.989852533,[0.91392904 1.        ],0.95696452,0.989852533
,result7,0.996303018,[0.96793708 0.99803388],0.982985481,0.996303018,[1.         0.99630302],0.998151509,0.996303018,[0.96793708 1.        ],0.983968542,0.996303018
,result8,0.99629966,[0.96760521 0.99803432],0.982819763,0.99629966,[1.         0.99629966],0.99814983,0.99629966,[0.96760521 1.        ],0.983802604,0.99629966
,result9,0.992352092,[0.93311688 0.99593678],0.964526833,0.992352092,[1.         0.99235209],0.996176046,0.992352092,[0.93311688 1.        ],0.966558442,0.992352092
,result10,0.993158998,[0.94141013 0.99635639],0.968883258,0.993158998,[1.       0.993159],0.996579499,0.993158998,[0.94141013 1.        ],0.970705065,0.993158998
LSTM,result1,0.989314569,[0.91477717 0.99425562],0.954516396,0.989314569,[0.99296325 0.98998784],0.991475545,0.989314569,[0.91477717 0.99910644],0.956941807,0.989314569
,result2,0.995523529,[0.96298723 0.99760313],0.980295177,0.995523529,[1.         0.99552353],0.997761764,0.995523529,[0.96298723 1.        ],0.981493613,0.995523529
,result3,0.995390032,[0.96112382 0.99753733],0.979330572,0.995390032,[1.         0.99539003],0.997695016,0.995390032,[0.96112382 1.        ],0.980561908,0.995390032
,result4,0.987936008,[0.90007868 0.9935426 ],0.94681064,0.987936008,[1.         0.98793601],0.993968004,0.987936008,[0.90007868 1.        ],0.950039339,0.987936008
,result5,0.995218438,[0.95851393 0.9974572 ],0.977985567,0.995218438,[1.         0.99521844],0.997609219,0.995218438,[0.95851393 1.        ],0.979256966,0.995218438
,result6,0.989852533,[0.91392904 0.99458337],0.954256203,0.989852533,[1.         0.98985253],0.994926267,0.989852533,[0.91392904 1.        ],0.95696452,0.989852533
,result7,0.996303018,[0.96793708 0.99803388],0.982985481,0.996303018,[1.         0.99630302],0.998151509,0.996303018,[0.96793708 1.        ],0.983968542,0.996303018
,result8,0.99629966,[0.96760521 0.99803432],0.982819763,0.99629966,[1.         0.99629966],0.99814983,0.99629966,[0.96760521 1.        ],0.983802604,0.99629966
,result9,0.992352092,[0.93311688 0.99593678],0.964526833,0.992352092,[1.         0.99235209],0.996176046,0.992352092,[0.93311688 1.        ],0.966558442,0.992352092
,result10,0.993158998,[0.94141013 0.99635639],0.968883258,0.993158998,[1.       0.993159],0.996579499,0.993158998,[0.94141013 1.        ],0.970705065,0.993158998
