模型,数据集,ACC,F1_EVERY_CLASS,F1_MACRO,F1_MICRO,PREC_EVERY_CLASS,PREC_MACRO,PREC_MICRO,RECALL_EVERY_CLASS,RECALL_MACRO,RECALL_MICRO
GRU,result1,0.977158977,[0.82555283 0.98762827],0.906590548,0.977158977,[1.         0.97715898],0.988579489,0.977158977,[0.82555283 1.        ],0.912776413,0.977158977
,result2,0.982376522,[0.85704561 0.9905548 ],0.923800204,0.982376522,[1.         0.98237652],0.991188261,0.982376522,[0.85704561 1.        ],0.928522805,0.982376522
,result3,0.991158572,[0.92547939 0.99527804],0.960378716,0.991158572,[0.99879435 0.99132944],0.995061895,0.991158572,[0.92559421 0.99978471],0.962689459,0.991158572
,result4,0.97814059,[0.82530612 0.9882437 ],0.90677491,0.97814059,[1.         0.97814059],0.989070295,0.97814059,[0.82530612 1.        ],0.912653061,0.97814059
,result5,0.991398308,[0.92930262 0.99539112],0.962346873,0.991398308,[1.         0.99139831],0.995699154,0.991398308,[0.92930262 1.        ],0.964651312,0.991398308
,result6,0.982627087,[0.85452073 0.9907226 ],0.922621666,0.982627087,[1.         0.98262709],0.991313543,0.982627087,[0.85452073 1.        ],0.927260367,0.982627087
,result7,0.991945933,[0.93507721 0.9956749 ],0.965376059,0.991945933,[1.         0.99194593],0.995972966,0.991945933,[0.93507721 1.        ],0.967538607,0.991945933
,result8,0.991393051,[0.92763787 0.99540588],0.961521874,0.991393051,[1.         0.99139305],0.995696525,0.991393051,[0.92763787 1.        ],0.963818935,0.991393051
,result9,0.982894338,[0.86807448 0.9907034 ],0.929388939,0.982894338,[0.99659401 0.9831214 ],0.989857705,0.982894338,[0.86750681 0.99949316],0.933499984,0.982894338
,result10,0.985361918,[0.8879668  0.99206791],0.940017358,0.985361918,[1.         0.98536192],0.992680959,0.985361918,[0.8879668 1.       ],0.943983402,0.985361918
RNN,result1,0.976976977,[0.82719083 0.98749183],0.907341327,0.976976977,[0.996724   0.97727273],0.986998362,0.976976977,[0.82719083 0.99955637],0.913373601,0.976976977
,result2,0.982376522,[0.85704561 0.9905548 ],0.923800204,0.982376522,[1.         0.98237652],0.991188261,0.982376522,[0.85704561 1.        ],0.928522805,0.982376522
,result3,0.991120297,[0.92547939 0.99525525],0.960367318,0.991120297,[0.99844988 0.99132466],0.994887268,0.991120297,[0.92559421 0.99974165],0.96266793,0.991120297
,result4,0.97814059,[0.82530612 0.9882437 ],0.90677491,0.97814059,[1.         0.97814059],0.989070295,0.97814059,[0.82530612 1.        ],0.912653061,0.97814059
,result5,0.991398308,[0.92930262 0.99539112],0.962346873,0.991398308,[1.         0.99139831],0.995699154,0.991398308,[0.92930262 1.        ],0.964651312,0.991398308
,result6,0.982627087,[0.85452073 0.9907226 ],0.922621666,0.982627087,[1.         0.98262709],0.991313543,0.982627087,[0.85452073 1.        ],0.927260367,0.982627087
,result7,0.991945933,[0.93507721 0.9956749 ],0.965376059,0.991945933,[1.         0.99194593],0.995972966,0.991945933,[0.93507721 1.        ],0.967538607,0.991945933
,result8,0.991393051,[0.92763787 0.99540588],0.961521874,0.991393051,[1.         0.99139305],0.995696525,0.991393051,[0.92763787 1.        ],0.963818935,0.991393051
,result9,0.982288828,[0.86035422 0.99044819],0.925401206,0.982288828,[1.         0.98228883],0.991144414,0.982288828,[0.86035422 1.        ],0.930177112,0.982288828
,result10,0.985246657,[0.89004149 0.99197943],0.941010463,0.985246657,[0.99688797 0.98554201],0.99121499,0.985246657,[0.89004149 0.99960173],0.944821614,0.985246657
LSTM,result1,0.976976977,[0.82787333 0.98747193],0.907672627,0.976976977,[0.995086  0.9773751],0.986230549,0.976976977,[0.82746383 0.99934187],0.913402851,0.976976977
,result2,0.982376522,[0.85704561 0.9905548 ],0.923800204,0.982376522,[1.         0.98237652],0.991188261,0.982376522,[0.85704561 1.        ],0.928522805,0.982376522
,result3,0.99131167,[0.92524974 0.99537497],0.960312354,0.99131167,[1.         0.99131167],0.995655835,0.99131167,[0.92524974 1.        ],0.962624871,0.99131167
,result4,0.97814059,[0.82530612 0.9882437 ],0.90677491,0.97814059,[1.         0.97814059],0.989070295,0.97814059,[0.82530612 1.        ],0.912653061,0.97814059
,result5,0.991398308,[0.92930262 0.99539112],0.962346873,0.991398308,[1.         0.99139831],0.995699154,0.991398308,[0.92930262 1.        ],0.964651312,0.991398308
,result6,0.982627087,[0.85452073 0.9907226 ],0.922621666,0.982627087,[1.         0.98262709],0.991313543,0.982627087,[0.85452073 1.        ],0.927260367,0.982627087
,result7,0.991945933,[0.93507721 0.9956749 ],0.965376059,0.991945933,[1.         0.99194593],0.995972966,0.991945933,[0.93507721 1.        ],0.967538607,0.991945933
,result8,0.991393051,[0.92763787 0.99540588],0.961521874,0.991393051,[1.         0.99139305],0.995696525,0.991393051,[0.92763787 1.        ],0.963818935,0.991393051
,result9,0.982288828,[0.86035422 0.99044819],0.925401206,0.982288828,[1.         0.98228883],0.991144414,0.982288828,[0.86035422 1.        ],0.930177112,0.982288828
,result10,0.985361918,[0.89056017 0.99204884],0.941304504,0.985361918,[0.99740664 0.98561405],0.991510345,0.985361918,[0.89056017 0.99967583],0.945117998,0.985361918
